Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
SJK25,2025-05-19,2.355,2.4425,2.288,2.41,-0.0165,-0.68%,150,87
SJK25,2025-05-20,2.3825,2.414,2.3235,2.3645,-0.0455,-1.89%,59,112
SJK25,2025-05-21,2.392,2.4365,2.34,2.399,0.0345,+1.46%,69,124
SJK25,2025-05-22,2.404,2.462,2.386,2.429,0.03,+1.25%,28,132
SJK25,2025-05-23,2.418,2.487,2.311,2.348,-0.081,-3.33%,60,145
SJK25,2025-05-27,2.3435,2.3635,2.2735,2.338,-0.01,-0.43%,189,199
SJK25,2025-05-28,2.3245,2.326,2.228,2.232,-0.106,-4.53%,250,223
SJM25,2025-05-29,2.295,2.333,2.285,2.2915,0.0595,+2.67%,63,245
SJM25,2025-05-30,2.2985,2.306,2.1545,2.205,-0.0865,-3.77%,99,191
SJM25,2025-06-02,2.1835,2.193,2.153,2.179,-0.026,-1.18%,52,187
SJM25,2025-06-03,2.198,2.305,2.198,2.3,0.121,+5.55%,145,238
SJM25,2025-06-04,2.27,2.282,2.216,2.224,-0.076,-3.30%,86,231
SJM25,2025-06-05,2.2235,2.242,2.078,2.143,-0.081,-3.64%,117,258
SJM25,2025-06-06,2.108,2.2035,2.1,2.193,0.05,+2.33%,176,328
SJM25,2025-06-09,2.299,2.3295,2.2405,2.3165,0.1235,+5.63%,192,398
SJM25,2025-06-10,2.3495,2.3495,2.282,2.3115,-0.005,-0.22%,113,396
SJM25,2025-06-11,2.32,2.3545,2.299,2.3055,-0.006,-0.26%,75,415
SJM25,2025-06-12,2.286,2.287,2.185,2.2155,-0.09,-3.90%,180,393
SJM25,2025-06-13,2.1975,2.209,2.0955,2.1345,-0.081,-3.66%,188,408
SJM25,2025-06-16,2.174,2.351,2.165,2.349,0.2145,+10.05%,391,490
SJM25,2025-06-17,2.316,2.3245,2.1515,2.194,-0.155,-6.60%,363,571
SJM25,2025-06-18,2.163,2.1855,2.1245,2.1495,-0.0445,-2.03%,735,555
SJM25,2025-06-20,2.178,2.19,2.09,2.131,-0.0185,-0.86%,546,560
SJM25,2025-06-23,1.98,2.1,1.965,2.056,-0.075,-3.52%,679,663
SJN25,2025-06-24,2.181,2.239,2.1575,2.2355,0.1795,+8.73%,585,655
SJN25,2025-06-25,2.2165,2.249,2.1935,2.2265,-0.009,-0.40%,779,647
SJN25,2025-06-26,2.2195,2.231,2.1165,2.1445,-0.082,-3.68%,500,614
SJN25,2025-06-27,2.1365,2.1385,2.0865,2.1095,-0.035,-1.63%,173,524
SJN25,2025-06-30,2.2075,2.35,2.1805,2.3445,0.235,+11.14%,426,635
SJN25,2025-07-01,2.2985,2.2985,2.1615,2.173,-0.1715,-7.31%,459,699
SJN25,2025-07-02,2.1865,2.3075,2.1725,2.282,0.109,+5.02%,482,695
SJN25,2025-07-03,2.2665,2.3265,2.241,2.288,0.006,+0.26%,232,702
SJN25,2025-07-07,2.3,2.366,2.2705,2.3155,0.0275,+1.20%,334,730
SJN25,2025-07-08,2.286,2.34,2.262,2.338,0.0225,+0.97%,252,753
SJN25,2025-07-09,2.3185,2.4395,2.3155,2.4355,0.0975,+4.17%,357,850
SJN25,2025-07-10,2.432,2.5265,2.4105,2.5175,0.082,+3.37%,449,937
SJN25,2025-07-11,2.5525,2.997,2.528,2.873,0.3555,+14.12%,1245,1258
SJN25,2025-07-14,2.8335,3.058,2.8115,2.949,0.076,+2.65%,1001,1588
SJN25,2025-07-15,2.962,2.983,2.8275,2.884,-0.065,-2.20%,658,1662
SJN25,2025-07-16,2.915,3.1255,2.8975,3.0845,0.2005,+6.95%,893,1954
SJN25,2025-07-17,3.097,3.427,3.014,3.333,0.2485,+8.06%,2317,2650
SJN25,2025-07-18,3.5445,3.6905,3.373,3.457,0.124,+3.72%,2607,3389
SJN25,2025-07-21,3.521,3.682,3.4245,3.5735,0.1165,+3.37%,4632,3848
SJQ25,2025-07-22,3.65,3.7145,3.517,3.6705,0.097,+2.71%,3932,4054
SJQ25,2025-07-23,3.685,3.697,3.192,3.326,-0.3445,-9.39%,4765,4356
SJQ25,2025-07-24,3.23,3.363,3.0655,3.3135,-0.0125,-0.38%,1933,4776
SJQ25,2025-07-25,3.25,3.2505,3.073,3.145,-0.1685,-5.09%,675,3882
SJQ25,2025-07-28,3.287,3.3945,3.1775,3.2235,0.0785,+2.50%,657,4006
SJQ25,2025-07-29,3.2175,3.246,3.11,3.182,-0.0415,-1.29%,748,4120
SJQ25,2025-07-30,3.18,3.2145,3.048,3.1495,-0.0325,-1.02%,1013,4212
SJQ25,2025-07-31,3.1405,3.2255,3.085,3.098,-0.0515,-1.64%,565,4234
SJQ25,2025-08-01,3.0725,3.093,2.925,3.047,-0.051,-1.65%,720,4127
SJQ25,2025-08-04,2.964,3.1295,2.9485,3.0875,0.0405,+1.33%,578,4258
SJQ25,2025-08-05,3.1105,3.142,2.9665,2.977,-0.1105,-3.58%,470,4158
SJQ25,2025-08-06,2.9485,3.0495,2.9325,3.0445,0.0675,+2.27%,422,4305
SJQ25,2025-08-07,3.032,3.156,2.9995,3.1355,0.091,+2.99%,731,4678
SJQ25,2025-08-08,3.29,3.4165,3.2435,3.3825,0.247,+7.88%,1756,5338
SJQ25,2025-08-11,3.218,3.3705,3.167,3.179,-0.2035,-6.02%,1288,5229
SJQ25,2025-08-12,3.17,3.349,3.137,3.3305,0.1515,+4.77%,1501,5744
SJQ25,2025-08-13,3.3175,3.3735,3.2425,3.3135,-0.017,-0.51%,1080,5911
SJQ25,2025-08-14,3.309,3.392,3.0285,3.096,-0.2175,-6.56%,870,5801
SJQ25,2025-08-15,3.106,3.168,3.0285,3.095,-0.001,-0.03%,914,5941
SJQ25,2025-08-18,3.1385,3.142,2.9665,3.1065,0.0115,+0.37%,593,6067
SJQ25,2025-08-19,3.095,3.1145,2.8815,2.8865,-0.22,-7.08%,1395,5923
SJQ25,2025-08-20,2.9065,3.009,2.8315,3.0055,0.119,+4.12%,1815,6346
SJQ25,2025-08-21,2.9815,2.9855,2.8565,2.87,-0.1355,-4.51%,3176,6287
SJQ25,2025-08-22,2.8925,3.117,2.7925,3.0935,0.2235,+7.79%,7134,7545
SJU25,2025-08-25,3.1055,3.142,2.8975,2.954,-0.1395,-4.51%,7533,7197
SJU25,2025-08-26,2.907,3.1575,2.907,3.1385,0.1845,+6.25%,7898,8143
SJU25,2025-08-27,3.0595,3.093,3.021,3.049,-0.0895,-2.85%,5000,7955
SJU25,2025-08-28,3.0425,3.07,2.985,2.9895,-0.0595,-1.95%,2070,7683
SJU25,2025-08-29,3.0075,3.025,2.818,2.8475,-0.142,-4.75%,1688,6582
SJU25,2025-09-02,2.834,2.8905,2.735,2.8595,0.012,+0.42%,2074,6949
SJU25,2025-09-03,2.8685,2.924,2.843,2.899,0.0395,+1.38%,1111,7207
SJU25,2025-09-04,2.884,2.8945,2.813,2.8175,-0.0815,-2.81%,848,7062
SJU25,2025-09-05,2.8365,2.9145,2.807,2.894,0.0765,+2.72%,820,7248
SJU25,2025-09-08,2.899,3.027,2.8895,3.0135,0.1195,+4.13%,1129,7596
SJU25,2025-09-09,3.0095,3.066,2.9665,2.9935,-0.02,-0.66%,478,7603
SJU25,2025-09-10,2.9695,3.0535,2.9655,3.0085,0.015,+0.50%,331,7690
SJU25,2025-09-11,3.012,3.062,2.9815,3.0575,0.049,+1.63%,661,7892
SJU25,2025-09-12,3.0515,3.1695,3.0415,3.1235,0.066,+2.16%,1030,8185
SJU25,2025-09-15,3.0765,3.0905,2.979,3.0105,-0.113,-3.62%,833,8154
SJU25,2025-09-16,3.021,3.08,2.9875,3.0755,0.065,+2.16%,919,8399
SJU25,2025-09-17,3.061,3.086,3.0005,3.05,-0.0255,-0.83%,538,8492
SJU25,2025-09-18,3.065,3.154,3.065,3.1295,0.0795,+2.61%,3346,8653
SJU25,2025-09-19,3.095,3.1095,2.991,2.996,-0.1335,-4.27%,5339,8545
SJU25,2025-09-22,2.9895,3,2.6955,2.831,-0.165,-5.51%,9144,8520
SJV25,2025-09-23,2.8935,2.9505,2.8645,2.9125,0.0815,+2.88%,9364,8485
SJV25,2025-09-24,2.8705,3.0535,2.844,3.042,0.1295,+4.45%,8507,9196
SJV25,2025-09-25,2.9845,3.002,2.7785,2.8035,-0.2385,-7.84%,4314,8664
SJV25,2025-09-26,2.801,2.866,2.7435,2.8535,0.05,+1.78%,1631,8233
SJV25,2025-09-29,2.8915,2.9845,2.8915,2.957,0.1035,+3.63%,1011,8460
SJV25,2025-09-30,2.944,2.9565,2.864,2.912,-0.045,-1.52%,615,8415
SJV25,2025-10-01,2.911,3.014,2.8625,3.0065,0.0945,+3.25%,1384,8557
SJV25,2025-10-02,2.9695,3.1585,2.9695,3.1465,0.14,+4.66%,1484,8842
SJV25,2025-10-03,3.097,3.1445,3.052,3.0775,-0.069,-2.19%,1296,8658
SJV25,2025-10-06,3.0295,3.0895,2.9965,3.065,-0.0125,-0.41%,1041,8871
SJV25,2025-10-07,3.0475,3.0475,2.882,2.8895,-0.1755,-5.73%,1815,8797
SJV25,2025-10-08,2.901,2.9575,2.865,2.9445,0.055,+1.90%,1255,9158
SJV25,2025-10-09,2.924,2.924,2.8015,2.8105,-0.134,-4.55%,1776,8980
SJV25,2025-10-10,2.829,2.864,2.434,2.6965,-0.114,-4.06%,1662,8875
SJV25,2025-10-13,2.571,2.6645,2.526,2.6455,-0.051,-1.89%,2151,9141
SJV25,2025-10-14,2.6375,2.642,2.41,2.5065,-0.139,-5.25%,2180,9036
SJV25,2025-10-15,2.5255,2.5655,2.396,2.42,-0.0865,-3.45%,1459,8903
SJV25,2025-10-16,2.4155,2.4815,2.2965,2.3375,-0.0825,-3.41%,1442,8896
SJV25,2025-10-17,2.328,2.41,2.2015,2.3085,-0.029,-1.24%,1502,9201
SJV25,2025-10-20,2.4105,2.5665,2.3655,2.543,0.2345,+10.16%,2741,9996
SJV25,2025-10-21,2.4985,2.5435,2.4145,2.505,-0.038,-1.49%,1080,10080
SJV25,2025-10-22,2.486,2.486,2.3635,2.3785,-0.1265,-5.05%,1848,9818
SJV25,2025-10-23,2.3565,2.432,2.3395,2.411,0.0325,+1.37%,3389,9933
SJV25,2025-10-24,2.3925,2.52,2.3895,2.511,0.1,+4.15%,7425,9951
