Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
ERG21,2021-02-08,1669.75,1800.25,1582.75,1751.75,6.75,+0.39%,388,228
ERG21,2021-02-09,1740,1858.75,1740,1797.25,45.5,+2.60%,265,288
ERG21,2021-02-10,1787.5,1875,1698.75,1728.5,-68.75,-3.83%,328,336
ERG21,2021-02-11,1774,1843.5,1723,1778,49.5,+2.86%,449,477
ERG21,2021-02-12,1793.75,1880,1755,1868.25,90.25,+5.08%,427,595
ERG21,2021-02-16,1784.5,1868.25,1674.25,1756.5,-111.75,-5.98%,859,707
ERG21,2021-02-17,1770.25,1866.5,1740,1840.25,83.75,+4.77%,602,833
ERG21,2021-02-18,1840.75,1960.25,1840,1943.25,103,+5.60%,1065,918
ERG21,2021-02-19,1943.5,1981.5,1897.75,1960.75,17.5,+0.90%,928,911
ERG21,2021-02-22,1967,1967,1567.25,1774,-186.75,-9.52%,1706,939
ERG21,2021-02-23,1779.75,1790,1371,1527.25,-246.75,-13.91%,2092,956
ERH21,2021-02-24,1604,1737.25,1527.75,1624,96.75,+6.33%,970,942
ERH21,2021-02-25,1626.75,1692.5,1534.5,1591.5,-32.5,-2.00%,810,903
ERH21,2021-02-26,1525.75,1576.75,1404.5,1457,-134.5,-8.45%,671,746
ERH21,2021-03-01,1436.75,1574.25,1413.5,1526,69,+4.74%,528,752
ERH21,2021-03-02,1560,1612,1467.25,1479.25,-46.75,-3.06%,529,770
ERH21,2021-03-03,1483.25,1672.75,1483.25,1588.5,109.25,+7.39%,667,845
ERH21,2021-03-04,1596.25,1638,1512.5,1536.75,-51.75,-3.26%,550,839
ERH21,2021-03-05,1529.5,1554.25,1446.75,1541.5,4.75,+0.31%,469,856
ERH21,2021-03-08,1613.5,1807,1613.5,1786.25,244.75,+15.88%,729,928
ERH21,2021-03-09,1811.25,1872.25,1811.25,1846.5,60.25,+3.37%,419,961
ERH21,2021-03-10,1846.5,1893.75,1768.75,1818,-28.5,-1.54%,1083,1183
ERH21,2021-03-11,1840,1859.5,1733.5,1824,6,+0.33%,613,1227
ERH21,2021-03-12,1853,1859,1729.75,1751,-73.,-4.00%,595,1196
ERH21,2021-03-15,1862,1911.75,1743.5,1794.25,43.25,+2.47%,869,1210
ERH21,2021-03-16,1808,1827.25,1722.25,1795.75,1.5,+0.08%,597,1208
ERH21,2021-03-17,1800.25,1848.75,1748.25,1836.5,40.75,+2.27%,452,1241
ERH21,2021-03-18,1835.25,1859,1762.75,1774,-62.5,-3.40%,681,1383
ERH21,2021-03-19,1784.75,1843.75,1733,1831.75,57.75,+3.26%,529,1439
ERH21,2021-03-22,1810,1813.5,1674.5,1741.5,-90.25,-4.93%,957,1332
ERH21,2021-03-23,1670.5,1722.75,1648.75,1706.5,-35.,-2.01%,1587,1272
ERJ21,2021-03-24,1698.5,1772,1609.5,1662.25,-44.25,-2.59%,1072,1274
ERJ21,2021-03-25,1606.5,1644.5,1570,1626.5,-35.75,-2.15%,1031,1232
ERJ21,2021-03-26,1612.25,1698,1595,1688.5,62,+3.81%,397,1077
ERJ21,2021-03-29,1699,1863.75,1695.75,1835.25,146.75,+8.69%,957,1279
ERJ21,2021-03-30,1831.5,1877.75,1805.75,1876,40.75,+2.22%,673,1328
ERJ21,2021-03-31,1863.25,1967.75,1798.75,1926.25,50.25,+2.68%,1449,1582
ERJ21,2021-04-01,1957.25,2010.75,1908.5,2002,75.75,+3.93%,919,1653
ERJ21,2021-04-05,2092.5,2158.5,2028.25,2130,128,+6.39%,825,1762
ERJ21,2021-04-06,2137.5,2185.5,2067.25,2135.25,5.25,+0.25%,869,1772
ERJ21,2021-04-07,2130.75,2151,1945,1989.25,-146.,-6.84%,2249,1761
ERJ21,2021-04-08,2007.75,2094.75,1960,2072.5,83.25,+4.18%,600,1795
ERJ21,2021-04-09,2067.75,2122.25,2064,2092,19.5,+0.94%,539,1884
ERJ21,2021-04-12,2146,2230.25,2123.75,2166.5,74.5,+3.56%,1055,1967
ERJ21,2021-04-13,2169.5,2346.75,2163,2327,160.5,+7.41%,1099,2017
ERJ21,2021-04-14,2318.5,2434.75,2300,2346.75,19.75,+0.85%,1636,1970
ERJ21,2021-04-15,2411.75,2527.5,2411.75,2505,158.25,+6.74%,1669,2023
ERJ21,2021-04-16,2524.75,2575.75,2316.5,2449,-56.,-2.24%,2308,2070
ERJ21,2021-04-19,2287.5,2296.25,2091.5,2194.75,-254.25,-10.38%,3264,2041
ERJ21,2021-04-20,2212.25,2340.5,2062.75,2333,138.25,+6.30%,2577,2034
ERJ21,2021-04-21,2319.25,2480.5,2245.5,2446.25,113.25,+4.85%,2320,2130
ERJ21,2021-04-22,2394.5,2654.5,2320.75,2539,92.75,+3.79%,5469,2462
ERJ21,2021-04-23,2420,2452.75,2114.25,2373.5,-165.5,-6.52%,5065,2477
ERJ21,2021-04-26,2221.75,2541.5,2215,2500,126.5,+5.33%,3844,2504
ERJ21,2021-04-27,2497,2692.5,2488.25,2635,135,+5.40%,2917,2675
ERJ21,2021-04-28,2650,2751,2572,2742.5,107.5,+4.08%,4171,2666
ERJ21,2021-04-29,2725.75,2803.75,2676.25,2728.5,-14.,-0.51%,3567,2560
ERK21,2021-04-30,2784,2850,2768.5,2821.25,92.75,+3.40%,2467,2251
ERK21,2021-05-03,3000,3379,2964.25,3326,504.75,+17.89%,3661,2394
ERK21,2021-05-04,3360,3552,3186,3438.25,112.25,+3.37%,6491,2416
ERK21,2021-05-05,3375.25,3515.5,3240,3507.25,69,+2.01%,3384,2613
ERK21,2021-05-06,3462.5,3642.25,3405.75,3508.25,1,+0.03%,3926,2673
ERK21,2021-05-07,3550,3623.25,3381.5,3543.5,35.25,+1.00%,2963,2755
ERK21,2021-05-10,3932.5,4240.25,3712.75,4009,465.5,+13.14%,6852,2724
ERK21,2021-05-11,4012.5,4159.5,3795.5,4091.25,82.25,+2.05%,4747,2843
ERK21,2021-05-12,4152.75,4406.5,3944.25,4093.5,2.25,+0.05%,7465,2754
ERK21,2021-05-13,4135,4260,3555,3660.75,-432.75,-10.57%,11175,2934
ERK21,2021-05-14,3739.75,4196.75,3619.75,4068.25,407.5,+11.13%,2750,2933
ERK21,2021-05-17,3505,3612.25,3138,3395.5,-672.75,-16.54%,6630,3004
ERK21,2021-05-18,3310,3578.5,3200.5,3410.25,14.75,+0.43%,4951,2969
ERK21,2021-05-19,3418,3451.25,2387.25,2621.5,-788.75,-23.13%,11980,3473
ERK21,2021-05-20,2558,2999.75,2157,2820.75,199.25,+7.60%,6865,3373
ERK21,2021-05-21,2842,2957.25,2253,2370.5,-450.25,-15.96%,5894,3495
ERK21,2021-05-24,2158,2675,2061,2654.5,284,+11.98%,7642,3298
ERK21,2021-05-25,2630,2758,2395.25,2514,-140.5,-5.29%,6517,3665
ERK21,2021-05-26,2560.5,2920,2560.5,2743.5,229.5,+9.13%,5080,3613
ERM21,2021-05-27,2847,2921.25,2660,2780.75,37.25,+1.36%,5243,3609
ERM21,2021-05-28,2772.5,2817,2435,2517.75,-263.,-9.46%,3208,2589
ERM21,2021-06-01,2493.75,2760.25,2291,2559.75,42,+1.67%,5224,2819
ERM21,2021-06-02,2598.25,2823.5,2565.75,2772.75,213,+8.32%,2977,3002
ERM21,2021-06-03,2742.5,2911.5,2675.5,2809,36.25,+1.31%,2405,3158
ERM21,2021-06-04,2839.75,2890,2563.75,2701.75,-107.25,-3.82%,3442,3440
ERM21,2021-06-07,2738,2867,2640,2740.75,39,+1.44%,2517,3527
ERM21,2021-06-08,2625,2653,2317,2513.5,-227.25,-8.29%,4219,3527
ERM21,2021-06-09,2535,2642.5,2415.5,2572.75,59.25,+2.36%,3323,3746
ERM21,2021-06-10,2589.25,2637.5,2430,2460.5,-112.25,-4.36%,2390,3680
ERM21,2021-06-11,2487,2499,2370.75,2405.25,-55.25,-2.25%,1672,3523
ERM21,2021-06-14,2510,2613.75,2466.75,2544,138.75,+5.77%,2071,3450
ERM21,2021-06-15,2579.25,2645.75,2515.75,2538.5,-5.5,-0.22%,1466,3470
ERM21,2021-06-16,2550,2572.75,2379.5,2419.25,-119.25,-4.70%,1757,3426
ERM21,2021-06-17,2415,2464.75,2306,2340.75,-78.5,-3.24%,2289,3361
ERM21,2021-06-18,2338,2379.5,2137.5,2155.5,-185.25,-7.91%,2574,3340
ERM21,2021-06-21,2250,2265,1891.5,1943.25,-212.25,-9.85%,5178,3059
ERM21,2021-06-22,1895,1996.5,1697.75,1902.25,-41.,-2.11%,6241,2896
ERM21,2021-06-23,1880,2045.75,1822.75,1920,17.75,+0.93%,3574,2901
ERN21,2021-06-24,1960,2054.25,1900,2026.75,106.75,+5.56%,3831,3049
ERN21,2021-06-25,2019,2036,1798.75,1862,-164.75,-8.13%,3261,2493
ERN21,2021-06-28,1843,2156.5,1836.5,2125.25,263.25,+14.14%,2680,2626
ERN21,2021-06-29,2130.75,2259.5,2074,2233.75,108.5,+5.11%,2093,2733
ERN21,2021-06-30,2222,2296,2101.5,2258.25,24.5,+1.10%,1730,2852
ERN21,2021-07-01,2273.25,2294.25,2081,2109,-149.25,-6.61%,1968,2935
ERN21,2021-07-02,2144,2150.75,2026.5,2108,-1.,-0.05%,1578,2989
ERN21,2021-07-06,2301.5,2395.5,2190.75,2336,228,+10.82%,4733,3428
ERN21,2021-07-07,2304,2421.75,2294.75,2376.25,40.25,+1.72%,2256,3487
ERN21,2021-07-08,2362,2362,2131.5,2162.25,-214.,-9.01%,3179,3470
ERN21,2021-07-09,2110,2195,2048.75,2135,-27.25,-1.26%,2269,3208
ERN21,2021-07-12,2174.25,2184,2009.25,2023,-112.,-5.25%,1439,3250
