"Date","BTCUSD Return","BTCUSD Open","BTCUSD Low","BTCUSD High","BTCUSD Close","ETHUSD Return","ETHUSD Open","ETHUSD Low","ETHUSD High","ETHUSD Close","SOLUSD Return","SOLUSD Open","SOLUSD Low","SOLUSD High","SOLUSD Close","XRPUSD Return","XRPUSD Open","XRPUSD Low","XRPUSD High","XRPUSD Close","GC1 Return","GC1 Open","GC1 Low","GC1 High","GC1 Close"
07-09-2025,0.0313,108705.10,108329.87,112152.91,110758.65,0.1262,2599.33,2590.47,2798.00,2740.14,0.0346,150.0400,150.0100,157.8800,156.0600,0.0970,2.2968,2.2967,2.4296,2.3942,0.0139,3301.53,3282.69,3316.89,3313.66
07-10-2025,0.0575,110758.64,110541.87,113923.99,113575.56,0.1593,2738.36,2736.00,2842.50,2820.66,0.0641,156.2200,155.7100,161.3000,160.5100,0.1469,2.3943,2.3919,2.5173,2.5030,0.0171,3307.50,3307.50,3330.37,3324.23
07-11-2025,0.0963,113575.58,113390.00,118909.74,117740.03,0.2234,2820.57,2815.50,3040.80,2976.77,0.0791,160.5000,160.3500,168.2300,162.7700,0.2637,2.5028,2.4970,2.9770,2.7580,0.0271,3324.18,3320.43,3368.81,3356.81
07-12-2025,0.0890,117724.10,116720.00,118244.51,116960.00,0.1980,2976.52,2900.30,3000.05,2914.80,0.0544,162.7800,157.5600,163.9800,159.0500,0.2303,2.7585,2.6606,2.8488,2.6851,,,,,
07-13-2025,0.1092,117122.10,116930.00,119500.00,119123.61,0.2302,2918.21,2912.70,3022.00,2993.23,0.0780,159.0400,158.9100,164.2300,162.6000,0.3061,2.6851,2.6809,2.8960,2.8505,,,,,
07-14-2025,0.1191,119181.40,118100.00,123231.07,120186.93,0.2350,2993.19,2937.30,3083.52,3004.96,0.0807,162.6000,159.5100,168.6900,163.0100,0.3401,2.8504,2.7601,3.0354,2.9247,0.0228,3368.49,3341.30,3374.98,3342.80
07-15-2025,0.0839,120212.60,115697.37,120331.36,116412.37,0.2500,3004.95,2933.00,3098.80,3041.39,0.0655,163.0000,157.1300,163.7600,160.7200,0.3129,2.9241,2.8032,2.9649,2.8652,0.0174,3343.42,3320.22,3366.48,3325.07
07-16-2025,0.1171,116479.10,116323.84,120000.00,119978.98,0.3900,3041.38,3040.01,3425.89,3381.94,0.1584,160.7200,160.5500,175.1000,174.7300,0.4042,2.8651,2.8585,3.1023,3.0645,0.0241,3325.55,3319.74,3377.64,3347.11
07-17-2025,0.1127,119888.80,117469.00,120134.80,119504.65,0.4060,3381.95,3311.80,3480.50,3420.90,0.1505,174.7300,168.7900,178.2300,173.5400,0.5396,3.0642,2.9900,3.4000,3.3600,0.0215,3349.99,3310.01,3352.32,3338.74
07-18-2025,0.0942,119511.68,116889.40,121050.00,117520.00,0.4465,3419.80,3419.80,3677.40,3519.54,0.1630,173.6100,173.3000,184.7900,175.4200,0.5642,3.3600,3.3443,3.6662,3.4138,0.0253,3335.23,3331.88,3361.28,3351.10
07-19-2025,0.0968,117490.00,117443.80,118564.59,117801.00,0.4655,3520.90,3508.66,3610.85,3565.76,0.1767,175.4200,174.0900,178.7400,177.4900,0.5671,3.4145,3.3540,3.4876,3.4200,,,,,
07-20-2025,0.0999,117801.00,117300.00,118921.76,118130.98,0.5380,3565.75,3540.24,3825.36,3742.17,0.2019,177.4900,175.1200,183.7200,181.2900,0.6086,3.4200,3.3806,3.5593,3.5106,,,,,
07-21-2025,0.0892,118164.10,116410.00,119745.93,116985.37,0.5443,3742.19,3612.01,3860.80,3757.42,0.2861,181.3000,177.8500,199.4800,194.0000,0.6148,3.5104,3.4023,3.6531,3.5242,0.0399,3349.47,3345.13,3401.59,3398.86
07-22-2025,0.1152,117028.10,116150.00,120288.00,119768.22,0.5230,3757.46,3617.47,3801.63,3705.68,0.3309,194.0000,193.6700,205.1300,200.7500,0.6231,3.5240,3.4231,3.5807,3.5423,0.0499,3395.47,3383.27,3433.57,3431.32
07-23-2025,0.0983,119786.10,117342.21,120300.00,117952.91,0.4667,3709.16,3543.65,3766.79,3568.63,0.2387,200.7500,184.4600,206.4200,186.8500,0.4424,3.5426,3.0715,3.5600,3.1479,0.0366,3431.99,3381.59,3438.96,3387.82
07-24-2025,0.1058,117987.40,117190.00,119590.00,118768.61,0.5361,3569.17,3507.78,3775.00,3737.46,0.2524,186.8500,179.2900,192.1000,188.9100,0.4802,3.1477,2.9593,3.2700,3.2304,0.0306,3397.57,3351.47,3406.14,3368.40
07-25-2025,0.0903,118787.20,114733.10,118870.00,117095.99,0.5152,3737.35,3574.39,3748.00,3686.63,0.2188,188.9400,175.7300,189.0400,183.8500,0.4306,3.2307,3.0000,3.2326,3.1222,0.0212,3369.11,3325.07,3373.56,3337.60
07-26-2025,0.0987,117101.10,116964.18,118430.00,117995.86,0.5398,3686.01,3686.01,3784.90,3746.45,0.2326,183.8600,183.8600,189.8300,185.9200,0.4589,3.1222,3.1076,3.2214,3.1840,,,,,
07-27-2025,0.1061,117993.80,117849.99,119800.00,118794.62,0.5717,3746.18,3731.71,3872.70,3824.04,0.2409,185.9100,184.3700,189.9000,187.1800,0.4678,3.1838,3.1570,3.2405,3.2033,,,,,
07-28-2025,0.0990,118818.10,117380.60,119900.00,118033.90,0.5570,3824.05,3753.15,3942.50,3788.34,0.2212,187.1800,182.6400,195.3900,184.2100,0.4394,3.2034,3.1113,3.3319,3.1414,0.0142,3352.57,3301.89,3352.57,3314.70
07-29-2025,0.0940,118037.50,116900.00,119410.00,117491.20,0.5471,3787.93,3715.14,3889.80,3764.22,0.1937,184.2000,178.1900,186.7500,180.0600,0.4282,3.1414,3.0522,3.1874,3.1170,0.0178,3330.47,3308.17,3334.24,3326.39
07-30-2025,0.0908,117491.20,115728.49,118930.00,117151.21,0.5493,3762.23,3663.75,3837.90,3769.58,0.1675,180.0400,170.2600,182.6900,176.1100,0.4167,3.1148,3.0000,3.1678,3.0918,0.0019,3325.45,3268.18,3334.18,3274.66
07-31-2025,0.0846,117152.08,116421.00,119100.00,116482.72,0.5345,3769.23,3716.74,3883.20,3733.54,0.1630,176.1100,174.0500,182.8400,175.4300,0.3984,3.0912,3.0434,3.1812,3.0518,0.0068,3279.20,3273.96,3314.89,3290.64
08-01-2025,0.0605,116486.96,113080.63,117080.00,113898.61,0.4550,3733.64,3490.29,3761.90,3540.25,0.0853,175.4000,161.6800,175.8300,163.7100,0.3773,3.0516,2.8919,3.0703,3.0059,0.0289,3290.00,3281.64,3363.54,3362.93
08-02-2025,0.0500,113930.20,112000.00,114260.00,112769.24,0.4070,3540.40,3370.67,3554.40,3423.30,0.0537,163.7300,155.7500,165.5000,158.9400,0.2817,3.0061,2.7365,3.0292,2.7972,,,,,
08-03-2025,0.0654,112737.10,111897.10,114980.00,114419.75,0.4352,3423.20,3350.00,3521.20,3492.02,0.0705,158.9400,156.2700,162.9100,161.4700,0.3370,2.7974,2.7273,2.9337,2.9178,,,,,
08-04-2025,0.0688,114432.20,114059.51,115810.00,114793.54,0.5211,3492.61,3483.47,3721.10,3700.89,0.1090,161.4700,160.9900,169.9100,167.2800,0.3970,2.9176,2.9111,3.0921,3.0489,0.0324,3353.39,3345.14,3385.49,3374.26
08-05-2025,0.0586,114860.10,112622.14,115460.00,113689.75,0.4698,3700.33,3544.32,3738.90,3576.18,0.0780,167.2800,162.2500,171.7100,162.6000,0.3460,3.0488,2.9000,3.1072,2.9376,0.0345,3374.02,3349.82,3390.49,3381.13
08-06-2025,0.0714,113582.00,113280.78,115870.00,115072.82,0.5105,3576.15,3546.05,3702.50,3675.23,0.1138,162.5800,161.1500,170.0900,168.0100,0.3721,2.9375,2.9018,3.0213,2.9945,0.0308,3381.32,3358.26,3385.40,3369.03
08-07-2025,0.0916,115100.00,114268.60,117770.00,117241.81,0.5914,3675.22,3647.87,3882.90,3872.00,0.1473,168.0000,166.5900,173.5900,173.0600,0.4257,2.9942,2.9645,3.1236,3.1114,0.0388,3370.58,3365.46,3401.85,3395.24
08-08-2025,0.0887,117204.00,115800.00,117900.00,116923.59,0.6681,3875.98,3860.15,4073.50,4058.57,0.1818,172.9900,172.5800,179.7500,178.2600,0.5177,3.1110,3.1033,3.3839,3.3122,0.0400,3400.89,3377.87,3408.84,3398.93
08-09-2025,0.0875,116859.20,116343.34,117950.00,116793.13,0.7635,4058.32,4004.00,4293.67,4290.80,0.2137,178.2500,176.6200,183.4600,183.0700,0.4934,3.3116,3.2455,3.3486,3.2593,,,,,
08-10-2025,0.1018,116800.10,116282.10,119190.00,118331.38,0.7333,4290.90,4161.16,4333.13,4217.31,0.2117,183.0900,177.0000,186.1900,182.7800,0.4599,3.2592,3.1517,3.2796,3.1861,,,,,
08-11-2025,0.1065,118414.30,118041.70,122370.00,118833.55,0.7441,4217.31,4154.90,4368.30,4243.67,0.1678,182.7800,175.5500,186.7800,176.1500,0.4509,3.1864,3.1340,3.3356,3.1664,0.0228,3391.22,3341.25,3405.17,3342.97
08-12-2025,0.1190,118879.20,118050.00,120327.00,120182.60,0.8994,4246.13,4190.00,4638.00,4621.52,0.2700,176.1800,173.3400,191.7000,191.5600,0.5078,3.1628,3.1033,3.3069,3.2906,0.0244,3346.83,3331.13,3359.31,3348.01
08-13-2025,0.1435,120182.60,118890.00,122870.00,122810.00,0.9374,4621.52,4558.00,4743.40,4714.00,0.3269,191.5500,190.5200,204.4400,200.1500,0.4945,3.2893,3.2015,3.3283,3.2616,0.0270,3350.55,3342.77,3370.86,3356.47
