"Date","BTCUSD Return","BTCUSD Close","JAAA Return","JAAA Close","JAAA Adj. Close","BKLN Return","BKLN Close","BKLN Adj. Close","CWB Return","CWB Close","CWB Adj. Close","XLRE Return","XLRE Close","XLRE Adj. Close","SPY Return","SPY Close","SPY Adj. Close"
07-12-2023,-0.0014,30352.30,0.0026,49.71,42.00,0.0091,21.18,16.81,0.0182,70.82,67.09,0.0275,38.53,34.78,0.0181,446.02,429.70
07-13-2023,0.0331,31398.68,0.0031,49.74,42.02,0.0086,21.17,16.80,0.0252,71.31,67.56,0.0344,38.79,35.02,0.0261,449.56,433.11
07-14-2023,-0.0062,30205.76,0.0043,49.80,42.08,0.0067,21.13,16.77,0.0201,70.95,67.22,0.0344,38.79,35.02,0.0255,449.28,432.84
07-15-2023,-0.0026,30315.70,,,,,,,,,,,,,,,
07-16-2023,-0.0037,30281.49,,,,,,,,,,,,,,,
07-17-2023,-0.0152,29931.66,0.0049,49.83,42.10,0.0057,21.11,16.76,0.0280,71.50,67.74,0.0256,38.46,34.72,0.0291,450.84,434.34
07-18-2023,-0.0201,29783.61,0.0057,49.87,42.13,0.0052,21.10,16.75,0.0296,71.61,67.84,0.0171,38.14,34.43,0.0367,454.19,437.57
07-19-2023,-0.0141,29964.58,0.0065,49.91,42.17,0.0043,21.08,16.73,0.0303,71.66,67.89,0.0283,38.56,34.81,0.0390,455.20,438.54
07-20-2023,-0.0215,29741.11,0.0071,49.94,42.19,0.0033,21.06,16.72,0.0221,71.09,67.35,0.0248,38.43,34.69,0.0321,452.18,435.63
07-21-2023,-0.0168,29882.98,0.0093,50.05,42.29,0.0057,21.11,16.76,0.0238,71.21,67.46,0.0293,38.60,34.84,0.0321,452.18,435.63
07-22-2023,-0.0185,29831.62,,,,,,,,,,,,,,,
07-23-2023,-0.0083,30142.79,,,,,,,,,,,,,,,
07-24-2023,-0.0412,29141.34,0.0095,50.06,42.29,0.0062,20.95,16.76,0.0238,71.21,67.46,0.0392,38.97,35.18,0.0367,454.20,437.58
07-25-2023,-0.0384,29227.99,0.0091,50.04,42.28,0.0076,20.98,16.79,0.0241,71.23,67.48,0.0315,38.68,34.92,0.0396,455.44,438.77
07-26-2023,-0.0268,29577.69,0.0097,50.07,42.30,0.0086,21.00,16.80,0.0247,71.27,67.52,0.0352,38.82,35.04,0.0397,455.51,438.84
07-27-2023,-0.0413,29139.52,0.0120,50.18,42.40,0.0067,20.96,16.77,0.0215,71.05,67.31,0.0133,38.00,34.30,0.0328,452.49,435.93
07-28-2023,-0.0347,29338.28,0.0124,50.20,42.41,0.0076,20.98,16.79,0.0307,71.69,67.92,0.0104,37.89,34.20,0.0429,456.92,440.20
07-29-2023,-0.0341,29356.70,,,,,,,,,,,,,,,
07-30-2023,-0.0370,29268.94,,,,,,,,,,,,,,,
07-31-2023,-0.0391,29205.43,0.0133,50.24,42.45,0.0086,21.00,16.80,0.0337,71.90,68.12,0.0184,38.19,34.47,0.0449,457.79,441.04
08-01-2023,-0.0389,29211.97,0.0142,50.03,42.49,0.0067,20.96,16.77,0.0306,71.60,67.91,0.0165,38.12,34.41,0.0419,456.48,439.77
08-02-2023,-0.0420,29118.30,0.0146,50.05,42.51,0.0052,20.93,16.75,0.0172,70.67,67.03,0.0123,37.96,34.27,0.0274,450.13,433.66
08-03-2023,-0.0366,29281.82,0.0156,50.10,42.55,0.0057,20.94,16.76,0.0142,70.46,66.83,-0.0016,37.44,33.80,0.0245,448.84,432.41
08-04-2023,-0.0482,28927.92,0.0150,50.07,42.53,0.0071,20.97,16.78,0.0119,70.30,66.68,-0.0115,37.07,33.46,0.0199,446.81,430.46
08-05-2023,-0.0449,29028.53,,,,,,,,,,,,,,,
08-06-2023,-0.0427,29095.36,,,,,,,,,,,,,,,
08-07-2023,-0.0406,29160.53,0.0148,50.06,42.52,0.0071,20.97,16.78,0.0166,70.63,66.99,0.0011,37.54,33.89,0.0288,450.71,434.21
08-08-2023,-0.0128,30003.60,0.0148,50.06,42.52,0.0081,20.99,16.80,0.0098,70.16,66.54,-0.0040,37.35,33.72,0.0243,448.75,432.33
08-09-2023,-0.0300,29482.09,0.0152,50.08,42.53,0.0100,21.03,16.83,0.0060,69.89,66.29,-0.0016,37.44,33.80,0.0174,445.75,429.44
08-10-2023,-0.0320,29420.50,0.0146,50.05,42.51,0.0119,21.07,16.86,0.0041,69.76,66.16,-0.0048,37.32,33.69,0.0178,445.91,429.59
08-11-2023,-0.0332,29385.89,0.0154,50.09,42.54,0.0115,21.06,16.85,0.0055,69.86,66.26,-0.0029,37.39,33.75,0.0172,445.65,429.34
08-12-2023,-0.0325,29405.26,,,,,,,,,,,,,,,
08-13-2023,-0.0327,29399.24,,,,,,,,,,,,,,,
08-14-2023,-0.0339,29362.41,0.0159,50.12,42.56,0.0119,21.07,16.86,0.0077,70.01,66.40,-0.0083,37.19,33.57,0.0228,448.11,431.71
08-15-2023,-0.0402,29171.33,0.0162,50.13,42.58,0.0110,21.05,16.84,-0.0002,69.46,65.88,-0.0184,36.81,33.23,0.0109,442.89,426.68
08-16-2023,-0.0478,28941.86,0.0158,50.11,42.56,0.0110,21.05,16.84,-0.0047,69.15,65.59,-0.0304,36.36,32.82,0.0035,439.64,423.55
08-17-2023,-0.0905,27644.49,0.0169,50.16,42.60,0.0105,21.04,16.84,-0.0126,68.60,65.06,-0.0376,36.09,32.58,-0.0042,436.29,420.32
08-18-2023,-0.1423,26069.77,0.0169,50.16,42.60,0.0110,21.05,16.84,-0.0128,68.59,65.05,-0.0349,36.19,32.67,-0.0037,436.50,420.52
08-19-2023,-0.1428,26054.61,,,,,,,,,,,,,,,
08-20-2023,-0.1369,26233.73,,,,,,,,,,,,,,,
08-21-2023,-0.1411,26105.35,0.0169,50.16,42.60,0.0136,20.93,16.89,-0.0116,68.67,65.13,-0.0432,35.88,32.39,0.0028,439.34,423.26
08-22-2023,-0.1494,25852.88,0.0175,50.19,42.63,0.0136,20.93,16.89,-0.0175,68.26,64.74,-0.0403,35.99,32.49,0.0001,438.15,422.11
08-23-2023,-0.1250,26593.27,0.0185,50.24,42.67,0.0155,20.97,16.92,-0.0084,68.89,65.34,-0.0261,36.52,32.97,0.0112,443.03,426.82
08-24-2023,-0.1440,26017.60,0.0185,50.24,42.67,0.0136,20.93,16.89,-0.0159,68.37,64.85,-0.0307,36.35,32.81,-0.0028,436.89,420.90
08-25-2023,-0.1430,26046.53,0.0187,50.25,42.68,0.0155,20.97,16.92,-0.0130,68.57,65.04,-0.0280,36.45,32.90,0.0042,439.97,423.87
08-26-2023,-0.1439,26021.04,,,,,,,,,,,,,,,
08-27-2023,-0.1418,26082.85,,,,,,,,,,,,,,,
08-28-2023,-0.1452,25979.77,0.0193,50.28,42.70,0.0180,21.02,16.96,-0.0107,68.73,65.19,-0.0203,36.74,33.17,0.0106,442.76,426.56
08-29-2023,-0.0916,27610.00,0.0201,50.32,42.74,0.0199,21.06,16.99,-0.0024,69.31,65.74,-0.0091,37.16,33.54,0.0252,449.16,432.72
08-30-2023,-0.1034,27250.48,0.0203,50.33,42.75,0.0204,21.07,17.00,0.0022,69.63,66.04,-0.0056,37.29,33.66,0.0294,451.01,434.50
08-31-2023,-0.1442,26012.33,0.0205,50.34,42.75,0.0213,21.09,17.02,0.0044,69.78,66.18,-0.0128,37.02,33.42,0.0279,450.35,433.87
09-01-2023,-0.1527,25753.29,0.0212,50.10,42.78,0.0228,21.12,17.04,0.0055,69.70,66.26,-0.0133,37.00,33.40,0.0299,451.19,434.68
09-02-2023,-0.1495,25848.53,,,,,,,,,,,,,,,
09-03-2023,-0.1431,26045.16,,,,,,,,,,,,,,,
09-04-2023,-0.1502,25827.31,,,,,,,,,,,,,,,
09-05-2023,-0.1543,25703.41,0.0226,50.17,42.84,0.0238,21.14,17.06,0.0032,69.54,66.11,-0.0232,36.63,33.07,0.0254,449.24,432.80
09-06-2023,-0.1556,25664.73,0.0208,50.08,42.77,0.0218,21.10,17.03,0.0009,69.38,65.95,-0.0251,36.56,33.00,0.0185,446.22,429.89
09-07-2023,-0.1445,26003.00,0.0214,50.11,42.79,0.0243,21.15,17.07,-0.0039,69.05,65.64,-0.0171,36.86,33.27,0.0154,444.85,428.57
09-08-2023,-0.1477,25905.37,0.0214,50.11,42.79,0.0252,21.17,17.08,-0.0040,69.04,65.63,-0.0235,36.62,33.06,0.0169,445.52,429.21
09-09-2023,-0.1490,25866.10,,,,,,,,,,,,,,,
09-10-2023,-0.1506,25817.63,,,,,,,,,,,,,,,
09-11-2023,-0.1746,25086.56,0.0222,50.15,42.83,0.0262,21.19,17.10,-0.0010,69.25,65.83,-0.0229,36.64,33.07,0.0236,448.45,432.04
09-12-2023,-0.1422,26072.95,0.0228,50.18,42.85,0.0272,21.21,17.11,-0.0024,69.15,65.74,-0.0229,36.64,33.07,0.0180,445.99,429.67
09-13-2023,-0.1372,26223.31,0.0228,50.18,42.85,0.0281,21.23,17.13,-0.0040,69.04,65.63,-0.0328,36.27,32.74,0.0192,446.51,430.17
09-14-2023,-0.1256,26576.20,0.0234,50.21,42.88,0.0291,21.25,17.15,0.0013,69.41,65.98,-0.0152,36.93,33.34,0.0280,450.36,433.88
09-15-2023,-0.1307,26420.11,0.0236,50.22,42.89,0.0301,21.27,17.16,-0.0044,69.01,65.60,-0.0189,36.79,33.21,0.0156,443.37,428.65
09-16-2023,-0.1270,26533.23,,,,,,,,,,,,,,,
09-17-2023,-0.1292,26468.00,,,,,,,,,,,,,,,
09-18-2023,-0.1191,26772.57,0.0241,50.24,42.90,0.0310,21.12,17.18,-0.0093,68.67,65.28,-0.0275,36.18,32.92,0.0162,443.63,428.90
09-19-2023,-0.1053,27193.06,0.0245,50.26,42.92,0.0305,21.11,17.17,-0.0069,68.84,65.44,-0.0326,35.99,32.75,0.0141,442.71,428.01
09-20-2023,-0.1084,27099.00,0.0245,50.26,42.92,0.0305,21.11,17.17,-0.0111,68.55,65.17,-0.0307,36.06,32.81,0.0047,438.64,424.08
09-21-2023,-0.1247,26603.08,0.0255,50.31,42.96,0.0266,21.03,17.11,-0.0189,68.01,64.65,-0.0643,34.81,31.67,-0.0119,431.39,417.07
09-22-2023,-0.1269,26537.82,0.0253,50.30,42.95,0.0266,21.03,17.11,-0.0219,67.80,64.45,-0.0708,34.57,31.46,-0.0141,430.42,416.13
09-23-2023,-0.1251,26590.67,,,,,,,,,,,,,,,
09-24-2023,-0.1279,26504.92,,,,,,,,,,,,,,,
09-25-2023,-0.1351,26287.05,0.0257,50.32,42.97,0.0257,21.01,17.09,-0.0213,67.84,64.49,-0.0724,34.51,31.40,-0.0099,432.23,417.88
09-26-2023,-0.1383,26189.00,0.0261,50.34,42.99,0.0232,20.96,17.05,-0.0253,67.56,64.22,-0.0888,33.90,30.85,-0.0245,425.88,411.74
09-27-2023,-0.1367,26239.32,0.0257,50.32,42.97,0.0227,20.95,17.04,-0.0229,67.73,64.39,-0.0969,33.60,30.57,-0.0241,426.05,411.90
09-28-2023,-0.1087,27088.52,0.0259,50.33,42.98,0.0227,20.95,17.04,-0.0206,67.89,64.54,-0.0874,33.95,30.89,-0.0184,428.52,414.29
09-29-2023,-0.1147,26906.79,0.0259,50.33,42.98,0.0247,20.99,17.07,-0.0219,67.80,64.45,-0.0842,34.07,31.00,-0.0208,427.48,413.29
09-30-2023,-0.1093,27071.08,,,,,,,,,,,,,,,
10-01-2023,-0.1079,27113.97,,,,,,,,,,,,,,,
10-02-2023,-0.0841,27838.49,0.0264,50.08,43.00,0.0222,20.94,17.03,-0.0258,67.41,64.20,-0.1009,33.45,30.44,-0.0212,427.31,413.12
10-03-2023,-0.0985,27399.29,0.0262,50.07,42.99,0.0188,20.87,16.98,-0.0372,66.62,63.44,-0.1173,32.84,29.88,-0.0343,421.59,407.59
10-04-2023,-0.0903,27650.04,0.0258,50.05,42.98,0.0203,20.90,17.00,-0.0369,66.64,63.46,-0.1079,33.19,30.20,-0.0273,424.66,410.56
10-05-2023,-0.0959,27477.79,0.0250,50.01,42.94,0.0193,20.88,16.98,-0.0396,66.45,63.28,-0.1014,33.43,30.42,-0.0276,424.50,410.41
10-06-2023,-0.0789,27996.40,0.0256,50.04,42.97,0.0208,20.91,17.01,-0.0321,66.97,63.78,-0.0979,33.56,30.54,-0.0161,429.54,415.28
10-07-2023,-0.0809,27933.40,,,,,,,,,,,,,,,
10-08-2023,-0.0812,27926.74,,,,,,,,,,,,,,,
10-09-2023,-0.0926,27577.83,0.0264,50.08,43.00,0.0222,20.94,17.03,-0.0340,66.84,63.65,-0.0861,34.00,30.94,-0.0098,432.29,417.94
10-10-2023,-0.0983,27405.94,0.0264,50.08,43.00,0.0247,20.99,17.07,-0.0262,67.38,64.17,-0.0829,34.12,31.05,-0.0046,434.54,420.11
10-11-2023,-0.1212,26710.38,0.0256,50.04,42.97,0.0247,20.99,17.07,-0.0248,67.48,64.26,-0.0643,34.81,31.67,-0.0006,436.32,421.83
10-12-2023,-0.1202,26739.50,0.0260,50.06,42.99,0.0232,20.96,17.05,-0.0310,67.05,63.85,-0.0767,34.35,31.25,-0.0067,433.66,419.26
10-13-2023,-0.1124,26976.87,0.0264,50.08,43.00,0.0261,21.02,17.10,-0.0343,66.82,63.64,-0.0770,34.34,31.25,-0.0116,431.50,417.17
10-14-2023,-0.1166,26850.00,,,,,,,,,,,,,,,
10-15-2023,-0.1049,27206.77,,,,,,,,,,,,,,,
10-16-2023,-0.0650,28417.03,0.0260,50.06,42.99,0.0281,21.06,17.13,-0.0304,67.09,63.89,-0.0676,34.69,31.56,-0.0012,436.04,421.56
10-17-2023,-0.0638,28455.63,0.0266,50.09,43.01,0.0261,21.02,17.10,-0.0285,67.22,64.02,-0.0724,34.51,31.40,-0.0013,436.02,421.54
10-18-2023,-0.0702,28259.58,0.0268,50.10,43.02,0.0261,21.02,17.10,-0.0365,66.67,63.49,-0.0928,33.75,30.71,-0.0146,430.21,415.93
10-19-2023,-0.0548,28728.06,0.0273,50.12,43.04,0.0232,20.96,17.05,-0.0438,66.16,63.01,-0.1151,32.92,29.95,-0.0232,426.43,412.27
10-20-2023,-0.0260,29603.63,0.0275,50.13,43.05,0.0232,20.96,17.05,-0.0502,65.72,62.59,-0.1197,32.75,29.80,-0.0352,421.19,407.21
10-21-2023,-0.0118,30034.36,,,,,,,,,,,,,,,
10-22-2023,-0.0174,29863.57,,,,,,,,,,,,,,,
10-23-2023,0.0377,31540.51,0.0275,50.13,43.05,0.0237,20.82,17.06,-0.0538,65.47,62.35,-0.1272,32.47,29.54,-0.0369,420.46,406.50
10-24-2023,0.1071,33648.65,0.0281,50.16,43.07,0.0247,20.84,17.07,-0.0495,65.77,62.64,-0.1162,32.88,29.92,-0.0296,423.63,409.57
10-25-2023,0.1411,34682.40,0.0285,50.18,43.09,0.0227,20.80,17.04,-0.0558,65.33,62.22,-0.1348,32.19,29.29,-0.0436,417.55,403.69
10-26-2023,0.1249,34191.21,0.0281,50.16,43.07,0.0232,20.81,17.05,-0.0589,65.12,62.02,-0.1165,32.87,29.91,-0.0550,412.55,398.85
10-27-2023,0.1133,33837.24,0.0291,50.21,43.11,0.0213,20.77,17.02,-0.0622,64.89,61.80,-0.1305,32.35,29.44,-0.0593,410.68,397.04
10-28-2023,0.1231,34133.69,,,,,,,,,,,,,,,
10-29-2023,0.1380,34589.46,,,,,,,,,,,,,,,
10-30-2023,0.1330,34436.95,0.0293,50.22,43.12,0.0227,20.80,17.04,-0.0652,64.68,61.60,-0.1278,32.45,29.53,-0.0481,415.59,401.79
10-31-2023,0.1400,34649.73,0.0299,50.25,43.15,0.0227,20.80,17.04,-0.0632,64.82,61.73,-0.1103,33.10,30.12,-0.0421,418.20,404.32
11-01-2023,0.1667,35461.10,0.0304,50.01,43.17,0.0252,20.85,17.08,-0.0602,64.91,61.93,-0.1057,33.27,30.27,-0.0319,422.66,408.63
11-02-2023,0.1487,34914.33,0.0306,50.02,43.18,0.0296,20.94,17.16,-0.0494,65.66,62.64,-0.0780,34.30,31.21,-0.0133,430.76,416.46
11-03-2023,0.1390,34617.62,0.0308,50.03,43.19,0.0316,20.98,17.19,-0.0376,66.47,63.42,-0.0563,35.11,31.95,-0.0043,434.69,420.26
11-04-2023,0.1443,34779.32,,,,,,,,,,,,,,,
11-05-2023,0.1411,34682.18,,,,,,,,,,,,,,,
11-06-2023,0.1526,35032.83,0.0323,50.10,43.25,0.0306,20.96,17.17,-0.0441,66.02,62.99,-0.0692,34.63,31.51,-0.0020,435.69,421.22
11-07-2023,0.1681,35504.28,0.0323,50.10,43.25,0.0321,20.99,17.20,-0.0412,66.22,63.18,-0.0770,34.34,31.25,0.0008,436.93,422.42
11-08-2023,0.1711,35595.00,0.0323,50.10,43.25,0.0336,21.02,17.22,-0.0420,66.17,63.13,-0.0716,34.54,31.43,0.0016,437.25,422.73
11-09-2023,0.2021,36537.62,0.0331,50.14,43.28,0.0316,20.98,17.19,-0.0496,65.64,62.62,-0.0858,34.01,30.95,-0.0063,433.84,419.44
11-10-2023,0.2269,37289.71,0.0333,50.15,43.29,0.0340,21.03,17.23,-0.0460,65.89,62.86,-0.0756,34.39,31.29,0.0093,440.61,425.98
11-11-2023,0.2170,36989.09,,,,,,,,,,,,,,,
11-12-2023,0.2230,37172.32,,,,,,,,,,,,,,,
11-13-2023,0.2004,36485.33,0.0341,50.19,43.32,0.0345,21.04,17.24,-0.0437,66.05,63.02,-0.0834,34.10,31.03,0.0083,440.19,425.58
11-14-2023,0.1708,35584.48,0.0343,50.20,43.33,0.0350,21.05,17.25,-0.0286,67.09,64.01,-0.0340,35.94,32.70,0.0279,448.73,433.83
11-15-2023,0.2387,37650.04,0.0343,50.20,43.33,0.0345,21.04,17.24,-0.0253,67.32,64.23,-0.0318,36.02,32.77,0.0300,449.68,434.75
11-16-2023,0.1832,35961.87,0.0353,50.25,43.38,0.0345,21.04,17.24,-0.0291,67.06,63.98,-0.0321,36.01,32.77,0.0313,450.23,435.28
11-17-2023,0.1981,36414.19,0.0360,50.28,43.40,0.0355,21.06,17.25,-0.0250,67.34,64.25,-0.0332,35.97,32.73,0.0326,450.79,435.82
11-18-2023,0.2030,36562.35,,,,,,,,,,,,,,,
11-19-2023,0.2175,37004.45,,,,,,,,,,,,,,,
11-20-2023,0.2318,37439.19,0.0362,50.29,43.41,0.0351,20.89,17.25,-0.0197,67.71,64.60,-0.0256,36.25,32.98,0.0405,454.26,439.18
11-21-2023,0.2126,36855.16,0.0364,50.30,43.42,0.0351,20.89,17.25,-0.0237,67.43,64.33,-0.0305,36.07,32.82,0.0383,453.27,438.22
11-22-2023,0.2381,37631.48,0.0366,50.31,43.43,0.0356,20.90,17.26,-0.0217,67.57,64.47,-0.0275,36.18,32.92,0.0423,455.02,439.91
11-23-2023,0.2257,37254.69,,,,,,,,,,,,,,,
11-24-2023,0.2458,37864.47,0.0370,50.33,43.45,0.0351,20.89,17.25,-0.0197,67.71,64.60,-0.0237,36.32,33.05,0.0429,455.30,440.18
11-25-2023,0.2445,37824.00,,,,,,,,,,,,,,,
11-26-2023,0.2380,37628.45,,,,,,,,,,,,,,,
11-27-2023,0.2184,37033.10,0.0374,50.35,43.46,0.0346,20.88,17.24,-0.0197,67.71,64.60,-0.0202,36.45,33.17,0.0410,454.48,439.39
11-28-2023,0.2490,37961.12,0.0374,50.35,43.46,0.0346,20.88,17.24,-0.0176,67.85,64.73,-0.0149,36.65,33.35,0.0421,454.93,439.83
11-29-2023,0.2418,37741.85,0.0388,50.42,43.52,0.0346,20.88,17.24,-0.0113,68.29,65.15,-0.0073,36.93,33.60,0.0413,454.61,439.52
11-30-2023,0.2419,37747.46,0.0391,50.43,43.53,0.0356,20.90,17.26,-0.0100,68.38,65.24,0.0007,37.23,33.88,0.0454,456.40,441.25
12-01-2023,0.2764,38794.51,0.0398,50.17,43.56,0.0356,20.90,17.26,0.0012,69.02,65.97,0.0217,38.01,34.59,0.0516,459.10,443.86
12-02-2023,0.3021,39576.16,,,,,,,,,,,,,,,
12-03-2023,0.3076,39742.00,,,,,,,,,,,,,,,
12-04-2023,0.3831,42036.99,0.0400,50.18,43.57,0.0361,20.91,17.26,0.0025,69.11,66.06,0.0273,38.22,34.78,0.0461,456.69,441.53
12-05-2023,0.4444,43901.80,0.0406,50.21,43.60,0.0381,20.95,17.30,-0.0001,68.93,65.89,0.0230,38.06,34.63,0.0459,456.60,441.44
12-06-2023,0.4420,43828.30,0.0408,50.22,43.61,0.0376,20.94,17.29,0.0009,69.00,65.96,0.0195,37.93,34.51,0.0417,454.76,439.66
12-07-2023,0.4274,43385.28,0.0394,50.15,43.55,0.0396,20.98,17.32,0.0061,69.36,66.30,0.0209,37.98,34.56,0.0496,458.23,443.02
12-08-2023,0.4660,44558.66,0.0415,50.25,43.63,0.0401,20.99,17.33,0.0069,69.41,66.35,0.0187,37.90,34.49,0.0541,460.20,444.92
12-09-2023,0.4472,43985.12,,,,,,,,,,,,,,,
12-10-2023,0.4412,43803.16,,,,,,,,,,,,,,,
12-11-2023,0.3547,41174.00,0.0421,50.28,43.66,0.0406,21.00,17.34,0.0096,69.60,66.53,0.0222,38.03,34.60,0.0582,461.99,446.65
12-12-2023,0.3519,41088.09,0.0419,50.27,43.65,0.0416,21.02,17.35,0.0080,69.49,66.42,0.0220,38.02,34.59,0.0631,464.10,448.69
12-13-2023,0.4147,42998.44,0.0421,50.28,43.66,0.0426,21.04,17.37,0.0218,70.44,67.33,0.0590,39.40,35.85,0.0777,470.50,454.88
12-14-2023,0.4145,42993.00,0.0425,50.30,43.68,0.0470,21.13,17.45,0.0367,71.47,68.32,0.0883,40.49,36.84,0.0812,472.01,456.34
12-15-2023,0.3900,42248.39,0.0454,50.44,43.80,0.0480,21.15,17.46,0.0367,71.47,68.32,0.0752,40.00,36.40,0.0794,469.33,455.59
12-16-2023,0.3909,42275.00,,,,,,,,,,,,,,,
12-17-2023,0.3779,41880.04,,,,,,,,,,,,,,,
12-18-2023,0.4021,42615.90,0.0439,50.37,43.74,0.0504,21.05,17.50,0.0388,71.40,68.45,0.0722,39.47,36.30,0.0855,471.97,458.15
12-19-2023,0.3983,42498.66,0.0454,50.44,43.80,0.0529,21.10,17.54,0.0452,71.84,68.87,0.0795,39.74,36.54,0.0921,474.84,460.94
12-20-2023,0.4298,43455.91,0.0456,50.45,43.81,0.0524,21.09,17.53,0.0362,71.22,68.28,0.0660,39.24,36.08,0.0769,468.26,454.55
12-21-2023,0.4478,44004.00,0.0464,50.49,43.84,0.0549,21.14,17.58,0.0443,71.78,68.82,0.0749,39.57,36.39,0.0871,472.70,458.86
12-22-2023,0.4391,43740.22,0.0470,50.24,43.86,0.0559,21.16,17.59,0.0456,71.87,68.90,0.0793,39.73,36.53,0.0893,473.65,459.78
12-23-2023,0.4413,43807.43,,,,,,,,,,,,,,,
12-24-2023,0.4320,43524.41,,,,,,,,,,,,,,,
12-25-2023,0.4322,43530.31,,,,,,,,,,,,,,,
12-26-2023,0.3930,42337.53,0.0474,50.26,43.88,0.0559,21.16,17.59,0.0497,72.15,69.17,0.0871,40.02,36.80,0.0939,475.65,461.72
12-27-2023,0.4280,43402.92,0.0476,50.27,43.89,0.0589,21.22,17.64,0.0544,72.47,69.48,0.0934,40.25,37.01,0.0959,476.51,462.56
12-28-2023,0.3971,42463.03,0.0478,50.28,43.90,0.0569,21.18,17.61,0.0539,72.44,69.45,0.1002,40.50,37.24,0.0963,476.69,462.73
12-29-2023,0.3792,41920.29,0.0482,50.30,43.92,0.0569,21.18,17.61,0.0497,72.15,69.17,0.0882,40.06,36.84,0.0932,475.31,461.39
12-30-2023,0.3917,42299.90,,,,,,,,,,,,,,,
12-31-2023,0.3981,42492.24,,,,,,,,,,,,,,,
01-01-2024,0.4356,43632.21,,,,,,,,,,,,,,,
01-02-2024,0.4848,45128.54,0.0495,50.36,43.97,0.0564,21.17,17.60,0.0411,71.56,68.60,0.0983,40.43,37.18,0.0870,472.65,458.81
01-03-2024,0.4129,42943.19,0.0491,50.34,43.95,0.0559,21.16,17.59,0.0302,70.81,67.89,0.0722,39.47,36.30,0.0782,468.79,455.06
01-04-2024,0.4639,44491.94,0.0487,50.32,43.93,0.0544,21.13,17.57,0.0274,70.62,67.70,0.0695,39.37,36.20,0.0747,467.28,453.60
01-05-2024,0.4468,43974.15,0.0497,50.37,43.98,0.0549,21.14,17.58,0.0290,70.73,67.81,0.0673,39.29,36.13,0.0762,467.92,454.22
01-06-2024,0.4452,43925.80,,,,,,,,,,,,,,,
01-07-2024,0.4561,44257.18,,,,,,,,,,,,,,,
01-08-2024,0.5487,47071.00,0.0499,50.38,43.99,0.0574,21.19,17.62,0.0357,71.19,68.25,0.0820,39.83,36.63,0.0915,474.60,460.70
01-09-2024,0.4944,45419.45,0.0501,50.39,43.99,0.0564,21.17,17.60,0.0349,71.13,68.19,0.0744,39.55,36.37,0.0899,473.88,460.00
01-10-2024,0.5117,45946.36,0.0505,50.41,44.01,0.0564,21.17,17.60,0.0384,71.37,68.42,0.0760,39.61,36.42,0.0960,476.56,462.61
01-11-2024,0.5188,46160.97,0.0512,50.44,44.04,0.0574,21.19,17.62,0.0379,71.34,68.39,0.0660,39.24,36.08,0.0955,476.35,462.40
01-12-2024,0.4286,43420.37,0.0518,50.47,44.06,0.0574,21.19,17.62,0.0368,71.26,68.32,0.0741,39.54,36.36,0.0963,476.68,462.72
01-13-2024,0.4133,42956.10,,,,,,,,,,,,,,,
01-14-2024,0.3992,42526.05,,,,,,,,,,,,,,,
01-15-2024,0.4044,42685.10,,,,,,,,,,,,,,,
01-16-2024,0.4289,43428.79,0.0522,50.49,44.08,0.0574,21.19,17.62,0.0333,71.02,68.09,0.0676,39.30,36.14,0.0923,474.93,461.02
